,title,link,description
0,home,https://www.rssb.rw/,
1,schemes,https://www.rssb.rw/#schemes,
2,investment,https://www.rssb.rw/investment,
3,management,https://www.rssb.rw/management,
4,about,https://www.rssb.rw/aboutus,
5,careers,https://www.rssb.rw/careers,
6,news & events,https://www.rssb.rw/news,
7,Maternity LeaveEnjoy your maternity leave with your full salarylearn more,https://www.rssb.rw/scheme/maternity-leave,
8,"Medical SchemeOur Health, our Futurelearn more",https://www.rssb.rw/scheme/medical-scheme,
9,CBHI SchemeGiving you happiness at best ratelearn more,https://www.rssb.rw/scheme/cbhi-scheme,
10,Pension SchemeRetire with dignitylearn more,https://www.rssb.rw/scheme/pension-scheme,
11,Occupational HazardsWe are  here for youlearn more,https://www.rssb.rw/scheme/occupational-hazards,
12,EjoHezaStart early and reap the rewards.learn more,https://www.rssb.rw/scheme/ejo-heza,
13,Check Contribution,https://www.rssb.rwhttps://www.imisanzu.rssb.rw/,
14,RSSB Clearance Certificate,https://www.rssb.rwhttps://www.rra.gov.rw/fileadmin/user_upload/tcc.html,
15,Apply for Employee Number,https://www.rssb.rwhttps://online.rssb.rw/index1152.php?menu=employer,
16,Pay Employee Contributions,https://www.rssb.rwhttps://etax.rra.gov.rw/,
17,"a month agoRSSB invests in Katapult Africa Seed Fund, Nine Start-u ...On Friday 4th November 2022, Katapult Africa officially launched its Accelerator Program in Kigali, Rwanda together with its partners, NORAD - Norwegi ...Read more ...",https://www.rssb.rw/rssb-invests-in-katapult-africa-seed-fund-nine-start-ups-selected-for-accelerator-program,
18,"7 months agoCommunity-based health insurance scheme receives financ ...KIGALI - May 25th , 2022 : AIDS Healthcare Foundation Rwanda( AHF Rwanda) handed over a cheque of 133,866,000 Frw to Rwanda Social Security Board to s ...Read more ...",https://www.rssb.rw/community-based-health-insurance-scheme-receives-financial-boost-from-ahf,
19,7 months agoRSSB remembers former CSR employees killed during the 1 ...Rwanda Social Security Board (RSSB) has remembered its former employees who were killed during the 1994 Genocide Against the Tutsi. The event was orga ...Read more ...,https://www.rssb.rw/rssb-remembers-former-csr-employees-killed-during-the-1994-genocide-against-the-tutsi,
20,Useful Staff Contacts,https://www.rssb.rw/useful-staff-contacts,
21,Tenders,https://www.rssb.rw/publications#tenders,
22,Gallery,https://www.rssb.rwhttps://www.flickr.com/photos/185734547@N05/,
23,Announcements,https://www.rssb.rw/publications#announcements,
24,Apply for employee number,https://www.rssb.rwhttps://online.rssb.rw/index1152.php?menu=employer,
25,Check for your contributions,https://www.rssb.rwhttps://www.imisanzu.rssb.rw/,
26,Pay employee contributions,https://www.rssb.rwhttps://etax.rra.gov.rw/,
27,Pension simulator,https://www.rssb.rw/?pensionSimulator=true,
28,RSSB clearance certificate,https://www.rssb.rwhttps://www.rra.gov.rw/fileadmin/user_upload/tcc.html,
29,Contact Us,/en/contact-us,
30,Change text size,#,
31,"





English
",/en/home,
32,"





Kinyarwanda
",/ahabanza,
33,"





French
",/fr/accueil,
34,Staff Login,https://mail.rra.gov.rw/owa/auth/logon.aspx?replaceCurrent=1&url=https%3a%2f%2fmail.rra.gov.rw%2fowa%2f,
35,"

Search
",#,
36,"Domestic Tax Services
                       
                      
",/en/domestic-tax-services,
37,"Customs Services
                        
                      ",/en/customs-services,
38,"Publications
                        
                      ",/en/publications,
39,"Rwanda Trade Portal
                        
                      ",https://rwandatrade.rw/,
40,"
               Click to Declare
                ",https://etax.rra.gov.rw/,
41,Click ,https://etax.rra.gov.rw/,
42,Click,https://myrra.rra.gov.rw/basic/login/indexLogin,
43,Click,https://localgov.rra.gov.rw/login,
44,Declare Domestic Taxes ,https://etax.rra.gov.rw/,
45,Declare District Revenues,https://localgov.rra.gov.rw/rlgmsHome,
46,Declare Non Fiscal Revenue ,https://nonfiscal.rra.gov.rw/,
47,Request TAX/QUITUS/RSSB Clearance Certificate,/en/tcc,
48,Electronic Single Window,https://sw.gov.rw/,
49,Property Tax Registration Request,https://onlinereg.rra.gov.rw/,
50,Tax Handbook,https://tax-handbook.rra.gov.rw/,
51,Domestic Tax Services ,/en/domestic-tax-services,
52,Customs Services ,/en/customs-services,
53,Rwanda Trade Portal ,https://rwandatrade.rw/,
54,Publications ,/en/publications,
55,RRA Profile,/en/about-us/rra-profile,
56,Job Vacancy,/en/about-us/job-vacancy,
57,News & Events,/en/about-us/news-events,
58,Announcements,/en/about-us/announcements,
59,rrainfo,https://twitter.com/rrainfo,
60,Rwanda Revenue Authority,https://web.facebook.com/RwandaRevenueAuthority?_rdc=1&_rdr,
61,Rwandarevenue,https://www.instagram.com/rwandarevenue/,
62,Rwanda Revenue Authority,https://www.youtube.com/channel/UCO4zbegoG2MuTGj6qj8wApQ/,
63,Rwandarevenue,https://www.flickr.com/photos/rwandarevenue,
64,Search for TIN using National ID,https://etax.rra.gov.rw/nidAssignedTIN/,
65,Tax Calculator,/en/tax-calculator,
66,Online Property Tax Registration Request,https://onlinereg.rra.gov.rw/,
67,Brochures,/en/useful-links/brochures,
