,title,link,description
0,Contact Us,/en/contact-us,
1,Change text size,#,
2,"





English
",/en/home,
3,"





Kinyarwanda
",/ahabanza,
4,"





French
",/fr/accueil,
5,Staff Login,https://mail.rra.gov.rw/owa/auth/logon.aspx?replaceCurrent=1&url=https%3a%2f%2fmail.rra.gov.rw%2fowa%2f,
7,"

Search
",#,
8,"Domestic Tax Services
                       
                      
",/en/domestic-tax-services,
9,"Customs Services
                        
                      ",/en/customs-services,
10,"Publications
                        
                      ",/en/publications,
11,"Rwanda Trade Portal
                        
                      ",https://rwandatrade.rw/,
12,"
               Click to Declare
                ",https://etax.rra.gov.rw/,
13,Click ,https://etax.rra.gov.rw/,
14,Click,https://myrra.rra.gov.rw/basic/login/indexLogin,
15,Click,https://localgov.rra.gov.rw/login,
16,Declare Domestic Taxes ,https://etax.rra.gov.rw/,
17,Declare District Revenues,https://localgov.rra.gov.rw/rlgmsHome,
18,Declare Non Fiscal Revenue ,https://nonfiscal.rra.gov.rw/,
19,Request TAX/QUITUS/RSSB Clearance Certificate,/en/tcc,
20,Electronic Single Window,https://sw.gov.rw/,
21,Property Tax Registration Request,https://onlinereg.rra.gov.rw/,
22,Tax Handbook,https://tax-handbook.rra.gov.rw/,
23,Domestic Tax Services ,/en/domestic-tax-services,
24,Customs Services ,/en/customs-services,
25,Rwanda Trade Portal ,https://rwandatrade.rw/,
26,Publications ,/en/publications,
27,RRA Profile,/en/about-us/rra-profile,
28,Job Vacancy,/en/about-us/job-vacancy,
29,News & Events,/en/about-us/news-events,
30,Announcements,/en/about-us/announcements,
31,rrainfo,https://twitter.com/rrainfo,
32,Rwanda Revenue Authority,https://web.facebook.com/RwandaRevenueAuthority?_rdc=1&_rdr,
33,Rwandarevenue,https://www.instagram.com/rwandarevenue/,
34,Rwanda Revenue Authority,https://www.youtube.com/channel/UCO4zbegoG2MuTGj6qj8wApQ/,
35,Rwandarevenue,https://www.flickr.com/photos/rwandarevenue,
36,Search for TIN using National ID,https://etax.rra.gov.rw/nidAssignedTIN/,
37,Tax Calculator,/en/tax-calculator,
38,Online Property Tax Registration Request,https://onlinereg.rra.gov.rw/,
39,Brochures,/en/useful-links/brochures,
