,title,link,description
6,home,https://www.rssb.rw/,
7,schemes,https://www.rssb.rw/#schemes,
8,investment,https://www.rssb.rw/investment,
9,management,https://www.rssb.rw/management,
10,about,https://www.rssb.rw/aboutus,
11,careers,https://www.rssb.rw/careers,
12,news & events,https://www.rssb.rw/news,
13,Maternity LeaveEnjoy your maternity leave with your full salarylearn more,https://www.rssb.rw/scheme/maternity-leave,
14,"Medical SchemeOur Health, our Futurelearn more",https://www.rssb.rw/scheme/medical-scheme,
15,CBHI SchemeGiving you happiness at best ratelearn more,https://www.rssb.rw/scheme/cbhi-scheme,
16,Pension SchemeRetire with dignitylearn more,https://www.rssb.rw/scheme/pension-scheme,
17,Occupational HazardsWe are  here for youlearn more,https://www.rssb.rw/scheme/occupational-hazards,
18,EjoHezaStart early and reap the rewards.learn more,https://www.rssb.rw/scheme/ejo-heza,
19,Check Contribution,https://www.rssb.rwhttps://www.imisanzu.rssb.rw/,
20,RSSB Clearance Certificate,https://www.rssb.rwhttps://www.rra.gov.rw/fileadmin/user_upload/tcc.html,
21,Apply for Employee Number,https://www.rssb.rwhttps://online.rssb.rw/index1152.php?menu=employer,
22,Pay Employee Contributions,https://www.rssb.rwhttps://etax.rra.gov.rw/,
23,"a month agoRSSB invests in Katapult Africa Seed Fund, Nine Start-u ...On Friday 4th November 2022, Katapult Africa officially launched its Accelerator Program in Kigali, Rwanda together with its partners, NORAD - Norwegi ...Read more ...",https://www.rssb.rw/rssb-invests-in-katapult-africa-seed-fund-nine-start-ups-selected-for-accelerator-program,
24,"7 months agoCommunity-based health insurance scheme receives financ ...KIGALI - May 25th , 2022 : AIDS Healthcare Foundation Rwanda( AHF Rwanda) handed over a cheque of 133,866,000 Frw to Rwanda Social Security Board to s ...Read more ...",https://www.rssb.rw/community-based-health-insurance-scheme-receives-financial-boost-from-ahf,
25,7 months agoRSSB remembers former CSR employees killed during the 1 ...Rwanda Social Security Board (RSSB) has remembered its former employees who were killed during the 1994 Genocide Against the Tutsi. The event was orga ...Read more ...,https://www.rssb.rw/rssb-remembers-former-csr-employees-killed-during-the-1994-genocide-against-the-tutsi,
26,Useful Staff Contacts,https://www.rssb.rw/useful-staff-contacts,
27,Tenders,https://www.rssb.rw/publications#tenders,
28,Gallery,https://www.rssb.rwhttps://www.flickr.com/photos/185734547@N05/,
29,Announcements,https://www.rssb.rw/publications#announcements,
30,Apply for employee number,https://www.rssb.rwhttps://online.rssb.rw/index1152.php?menu=employer,
31,Check for your contributions,https://www.rssb.rwhttps://www.imisanzu.rssb.rw/,
32,Pay employee contributions,https://www.rssb.rwhttps://etax.rra.gov.rw/,
33,Pension simulator,https://www.rssb.rw/?pensionSimulator=true,
34,RSSB clearance certificate,https://www.rssb.rwhttps://www.rra.gov.rw/fileadmin/user_upload/tcc.html,
