,title,link,description,is_full_link,is_pdf
9,home,https://rura.rw/index.php?id=23,,True,False
10,about rura,https://rura.rw/index.php?id=25,,True,False
11,background,https://rura.rw/index.php?id=44,,True,False
12,rura functions,https://rura.rw/index.php?id=45,,True,False
13,rura mission  vision and values,https://rura.rw/index.php?id=46,,True,False
14,rura law and related orders,https://rura.rw/index.php?id=202,,True,False
15,regional and international partnerships,https://rura.rw/index.php?id=47,,True,False
16,consumer affairs,https://rura.rw/index.php?id=262,,True,False
17,overview,https://rura.rw/index.php?id=263,,True,False
18,consumer rights and obligations,https://rura.rw/index.php?id=264,,True,False
19,complaints handling procedures,https://rura.rw/index.php?id=265,,True,False
20,consumer awareness and educational tools,https://rura.rw/index.php?id=266,,True,False
21,laws and regulations,https://rura.rw/index.php?id=268,,True,False
22,strategic plan 2022 2027,https://rura.rw/index.php?id=289,,True,False
23,service charter,https://rura.rw/index.php?id=150,,True,False
24,faqs,https://rura.rw/index.php?id=103,,True,False
25,ict,https://rura.rw/index.php?id=48,,True,False
26,overview,https://rura.rw/index.php?id=49,,True,False
27,sub sectors and services,https://rura.rw/index.php?id=159,,True,False
28,ict scarce resources management and monitoring,https://rura.rw/index.php?id=154,,True,False
29,ict standards and quality of service,https://rura.rw/index.php?id=155,,True,False
30,postal  courier services regulation and e commerce development,https://rura.rw/index.php?id=253,,True,False
31,ict media regulation,https://rura.rw/index.php?id=156,,True,False
32,regulatory instruments,https://rura.rw/index.php?id=160,,True,False
33,laws and orders,https://rura.rw/index.php?id=50,,True,False
34,regulations and guidelines,https://rura.rw/index.php?id=51,,True,False
35,board decisions,https://rura.rw/index.php?id=161,,True,False
36,other documents,https://rura.rw/index.php?id=232,,True,False
37,statistics,https://rura.rw/index.php?id=60,,True,False
38,monthly publication,https://rura.rw/index.php?id=188,,True,False
39,quarterly publication,https://rura.rw/index.php?id=194,,True,False
40,sector reports,https://rura.rw/index.php?id=164,,True,False
41,faqs,https://rura.rw/index.php?id=222,,True,False
42,radiation protection,https://rura.rw/index.php?id=237,,True,False
43,overview,https://rura.rw/index.php?id=238,,True,False
44,services,https://rura.rw/index.php?id=251,,True,False
45,law governing radiation protection,https://rura.rw/index.php?id=284,,True,False
46,regulations and guidelines,https://rura.rw/index.php?id=282,,True,False
47,sector publications,https://rura.rw/index.php?id=283,,True,False
48,faqs,https://rura.rw/index.php?id=286,,True,False
49,energy,https://rura.rw/index.php?id=63,,True,False
50,overview,https://rura.rw/index.php?id=137,,True,False
51,sub sectors and services,https://rura.rw/index.php?id=173,,True,False
52,electricity,https://rura.rw/index.php?id=65,,True,False
53,renewable energy,https://rura.rw/index.php?id=67,,True,False
54,downstream petroleum,https://rura.rw/index.php?id=66,,True,False
55,gas,https://rura.rw/index.php?id=64,,True,False
56,regulatory instruments,https://rura.rw/index.php?id=174,,True,False
57,laws and orders,https://rura.rw/index.php?id=68,,True,False
58,regulations and guidelines,https://rura.rw/index.php?id=98,,True,False
59,board decisions,https://rura.rw/index.php?id=70,,True,False
60,draft regulations and guidelines,https://rura.rw/index.php?id=235,,True,False
61,sector reports,https://rura.rw/index.php?id=176,,True,False
62,statistics,https://rura.rw/index.php?id=71,,True,False
63,faqs,https://rura.rw/index.php?id=223,,True,False
64,water   sanitation,https://rura.rw/index.php?id=62,,True,False
65,overview,https://rura.rw/index.php?id=153,,True,False
66,sub sectors and services,https://rura.rw/index.php?id=165,,True,False
67,water,https://rura.rw/index.php?id=74,,True,False
68,sanitation,https://rura.rw/index.php?id=75,,True,False
69,regulatory instruments,https://rura.rw/index.php?id=169,,True,False
70,laws and orders,https://rura.rw/index.php?id=76,,True,False
71,regulations and guidelines,https://rura.rw/index.php?id=167,,True,False
72,board decisions,https://rura.rw/index.php?id=77,,True,False
73,draft regulations and guidelines,https://rura.rw/index.php?id=231,,True,False
74,statistics,https://rura.rw/index.php?id=78,,True,False
75,faqs,https://rura.rw/index.php?id=224,,True,False
76,transport,https://rura.rw/index.php?id=89,,True,False
77,overview,https://rura.rw/index.php?id=89,,True,False
78,sub sectors and services,https://rura.rw/index.php?id=178,,True,False
79,road transport,https://rura.rw/index.php?id=81,,True,False
80,freight forwarders service,https://rura.rw/index.php?id=234,,True,False
81,waterways transport,https://rura.rw/index.php?id=82,,True,False
82,regulatory instruments,https://rura.rw/index.php?id=179,,True,False
83,laws and orders,https://rura.rw/index.php?id=84,,True,False
84,regulations and guidelines,https://rura.rw/index.php?id=85,,True,False
85,board decisions,https://rura.rw/index.php?id=181,,True,False
86,sector  reports,https://rura.rw/index.php?id=185,,True,False
87,statistics,https://rura.rw/index.php?id=86,,True,False
88,faqs,https://rura.rw/index.php?id=88,,True,False
89,online services,https://rura.rw/index.php?id=269,,True,False
91,media center,https://rura.rw/index.php?id=17,,True,False
92,news,https://rura.rw/index.php?id=38,,True,False
93,upcoming events,https://rura.rw/index.php?id=37,,True,False
94,press release,https://rura.rw/index.php?id=34,,True,False
95,jobs,https://rura.rw/index.php?id=33,,True,False
96,announcements,https://rura.rw/index.php?id=187,,True,False
97,the regulator magazine,https://rura.rw/index.php?id=8,,True,False
98,public notices,https://rura.rw/index.php?id=227,,True,False
99,reports,https://rura.rw/index.php?id=29,,True,False
100,tenders,https://rura.rw/index.php?id=133,,True,False
101,contact us,https://rura.rw/index.php?id=4,,True,False
102,ict sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=5&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=39b2a753d27b615aed7a70e896c563dd,,True,False
103,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=5&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=39b2a753d27b615aed7a70e896c563dd,,True,False
104,transport sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=9&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=1e306f11763554a3c2ec733ce42b81a8,,True,False
105,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=9&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=1e306f11763554a3c2ec733ce42b81a8,,True,False
106,water and sanitation sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=10&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=080d8ba93034ea8804a270818390fcc7,,True,False
107,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=10&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=080d8ba93034ea8804a270818390fcc7,,True,False
108,energy sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd,,True,False
109,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd,,True,False
110,radiation protection ,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4,,True,False
111,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4,,True,False
120,annual reports,https://rura.rw/index.php?id=213,,True,False
121,tariffs,https://rura.rw/index.php?id=288,,True,False
122,statistics,https://rura.rw/index.php?id=276,,True,False
123,revoked licenses,https://rura.rw/index.php?id=287,,True,False
124,key ict documents,https://rura.rw/index.php?id=211,,True,False
125,consumer affairs,https://rura.rw/index.php?id=279,,True,False
126,regulations and guidelines,https://rura.rw/index.php?id=207,,True,False
127,board decisions,https://rura.rw/index.php?id=208,,True,False
128,regulations for consultation,https://rura.rw/index.php?id=291,,True,False
129,faqs,https://rura.rw/index.php?id=217,,True,False
131,           rura hosts government institutions to discuss nuclear safeguards implementation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1697&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=3114a7391a8b2521275ed7a234870177,,True,False
132,           an ai ethics primer for the rwandan ai ecosystem and consultation on ethical ai guidelines          ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1696&tx_news_pi1%5Bday%5D=21&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=2bcaf2dbcf178d2fed28fb08b3183058,,True,False
133,           rura in partnership with iaea hosts a regional workshop on radiation protection officers and qualified experts         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1691&tx_news_pi1%5Bday%5D=7&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=b7e6c9903dbdaefe8f39ab8a03ff9a88,,True,False
134,           rura and zambian energy regulator exchange experience on lpg regulation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1671&tx_news_pi1%5Bday%5D=23&tx_news_pi1%5Bmonth%5D=9&tx_news_pi1%5Byear%5D=2022&cHash=e0cbb1a8937231f8afa48064e0215e3e,,True,False
135,           open call for the rwandan artificial intelligence ai  ecosystem  ai ethics applied programme and consultation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1653&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=8&tx_news_pi1%5Byear%5D=2022&cHash=cd34289aa0182cdb2eb51a976bb05208,,True,False
136,public notices,https://rura.rw/index.php?id=227,,True,False
138,announcements,https://rura.rw/index.php?id=187,,True,False
139,jobs,https://rura.rw/index.php?id=33,,True,False
143,background,https://rura.rw/index.php?id=44,,True,False
144,rura functions,https://rura.rw/index.php?id=45,,True,False
145,rura mission  vision and values,https://rura.rw/index.php?id=46,,True,False
146,rura law and related orders,https://rura.rw/index.php?id=202,,True,False
147,regional and international partnerships,https://rura.rw/index.php?id=47,,True,False
148,consumer affairs,https://rura.rw/index.php?id=262,,True,False
149,strategic plan 2022 2027,https://rura.rw/index.php?id=289,,True,False
150,service charter,https://rura.rw/index.php?id=150,,True,False
151,faqs,https://rura.rw/index.php?id=103,,True,False
152,overview,https://rura.rw/index.php?id=49,,True,False
153,sub sectors and services,https://rura.rw/index.php?id=159,,True,False
154,regulatory instruments,https://rura.rw/index.php?id=160,,True,False
155,statistics,https://rura.rw/index.php?id=60,,True,False
156,sector reports,https://rura.rw/index.php?id=164,,True,False
157,faqs,https://rura.rw/index.php?id=222,,True,False
158,overview,https://rura.rw/index.php?id=137,,True,False
159,sub sectors and services,https://rura.rw/index.php?id=173,,True,False
160,regulatory instruments,https://rura.rw/index.php?id=174,,True,False
161,statistics,https://rura.rw/index.php?id=71,,True,False
162,faqs,https://rura.rw/index.php?id=223,,True,False
163,overview,https://rura.rw/index.php?id=153,,True,False
164,sub sectors and services,https://rura.rw/index.php?id=165,,True,False
165,regulatory instruments,https://rura.rw/index.php?id=169,,True,False
166,statistics,https://rura.rw/index.php?id=78,,True,False
167,faqs,https://rura.rw/index.php?id=224,,True,False
168,overview,https://rura.rw/index.php?id=89,,True,False
169,sub sectors and services,https://rura.rw/index.php?id=178,,True,False
170,regulatory instruments,https://rura.rw/index.php?id=179,,True,False
171,sector  reports,https://rura.rw/index.php?id=185,,True,False
172,statistics,https://rura.rw/index.php?id=86,,True,False
173,faqs,https://rura.rw/index.php?id=88,,True,False
